t,x_cubeOne(t),x_cubeTwo(t),v_cubeOne(t),v_cubeTwo(t),p_cubeOne(t),p_cubeTwo(t)
0.09300001,1.792139,-4.35,0.046,0,0.09200001,0
0.09400001,1.792185,-4.35,0.0465,0,0.09300001,0
0.09500001,1.792232,-4.35,0.04700001,0,0.09400001,0
0.09600002,1.79228,-4.35,0.04750001,0,0.09500001,0
0.09700002,1.792328,-4.35,0.04800001,0,0.09600002,0
0.09800002,1.792376,-4.35,0.04850001,0,0.09700002,0
0.09900002,1.792425,-4.35,0.04900001,0,0.09800002,0
0.1,1.792475,-4.35,0.04950001,0,0.09900002,0
0.101,1.792525,-4.35,0.05000001,0,0.1,0
0.102,1.792575,-4.35,0.05050001,0,0.101,0
0.103,1.792626,-4.35,0.05100001,0,0.102,0
0.104,1.792678,-4.35,0.05150001,0,0.103,0
0.105,1.79273,-4.35,0.05200002,0,0.104,0
0.106,1.792782,-4.35,0.05250002,0,0.105,0
0.107,1.792835,-4.35,0.05300002,0,0.106,0
0.108,1.792889,-4.35,0.05350002,0,0.107,0
0.109,1.792943,-4.35,0.05400002,0,0.108,0
0.11,1.792997,-4.35,0.05450002,0,0.109,0
0.111,1.793052,-4.35,0.05500002,0,0.11,0
0.112,1.793108,-4.35,0.05550002,0,0.111,0
0.1130001,1.793164,-4.35,0.05600002,0,0.112,0
0.1140001,1.79322,-4.35,0.05650003,0,0.1130001,0
0.1150001,1.793277,-4.35,0.05700003,0,0.1140001,0
0.1160001,1.793335,-4.35,0.05750003,0,0.1150001,0
0.1170001,1.793393,-4.35,0.05800003,0,0.1160001,0
0.1180001,1.793451,-4.35,0.05850003,0,0.1170001,0
0.1190001,1.79351,-4.35,0.05900003,0,0.1180001,0
0.1200001,1.79357,-4.35,0.05950003,0,0.1190001,0
0.1210001,1.79363,-4.35,0.06000003,0,0.1200001,0
0.1220001,1.79369,-4.35,0.06050003,0,0.1210001,0
0.1230001,1.793751,-4.35,0.06100003,0,0.1220001,0
0.1240001,1.793813,-4.35,0.06150004,0,0.1230001,0
0.1250001,1.793875,-4.35,0.06200004,0,0.1240001,0
0.1260001,1.793937,-4.35,0.06250004,0,0.1250001,0
0.1270001,1.794,-4.35,0.06300004,0,0.1260001,0
0.1280001,1.794064,-4.35,0.06350004,0,0.1270001,0
0.1290001,1.794128,-4.35,0.06400004,0,0.1280001,0
0.1300001,1.794192,-4.35,0.06450004,0,0.1290001,0
0.1310001,1.794257,-4.35,0.06500004,0,0.1300001,0
0.1320001,1.794323,-4.35,0.06550004,0,0.1310001,0
0.1330001,1.794389,-4.35,0.06600004,0,0.1320001,0
0.1340001,1.794455,-4.35,0.06650005,0,0.1330001,0
0.1350001,1.794522,-4.35,0.06700005,0,0.1340001,0
0.1360001,1.79459,-4.35,0.06750005,0,0.1350001,0
0.1370001,1.794658,-4.35,0.06800005,0,0.1360001,0
0.1380001,1.794726,-4.35,0.06850005,0,0.1370001,0
0.1390001,1.794795,-4.35,0.06900005,0,0.1380001,0
0.1400001,1.794865,-4.35,0.06950005,0,0.1390001,0
0.1410001,1.794935,-4.35,0.07000005,0,0.1400001,0
0.1420001,1.795005,-4.35,0.07050005,0,0.1410001,0
0.1430001,1.795076,-4.35,0.07100005,0,0.1420001,0
0.1440001,1.795148,-4.35,0.07150006,0,0.1430001,0
0.1450001,1.79522,-4.35,0.07200006,0,0.1440001,0
0.1460001,1.795292,-4.35,0.07250006,0,0.1450001,0
0.1470001,1.795365,-4.35,0.07300006,0,0.1460001,0
0.1480001,1.795439,-4.35,0.07350006,0,0.1470001,0
0.1490001,1.795513,-4.35,0.07400006,0,0.1480001,0
0.1500001,1.795587,-4.35,0.07450006,0,0.1490001,0
0.1510001,1.795662,-4.35,0.07500006,0,0.1500001,0
0.1520001,1.795738,-4.35,0.07550006,0,0.1510001,0
0.1530001,1.795814,-4.35,0.07600006,0,0.1520001,0
0.1540001,1.79589,-4.35,0.07650007,0,0.1530001,0
0.1550001,1.795967,-4.35,0.07700007,0,0.1540001,0
0.1560001,1.796045,-4.35,0.07750007,0,0.1550001,0
0.1570001,1.796123,-4.35,0.07800007,0,0.1560001,0
0.1580001,1.796201,-4.35,0.07850007,0,0.1570001,0
0.1590001,1.796281,-4.35,0.07900007,0,0.1580001,0
0.1600001,1.79636,-4.35,0.07950007,0,0.1590001,0
0.1610001,1.79644,-4.35,0.08000007,0,0.1600001,0
0.1620001,1.79652,-4.35,0.08050007,0,0.1610001,0
0.1630002,1.796601,-4.35,0.08100007,0,0.1620001,0
0.1640002,1.796683,-4.35,0.08150008,0,0.1630002,0
0.1650002,1.796765,-4.35,0.08200008,0,0.1640002,0
0.1660002,1.796847,-4.35,0.08250008,0,0.1650002,0
0.1670002,1.79693,-4.35,0.08300008,0,0.1660002,0
0.1680002,1.797014,-4.35,0.08350008,0,0.1670002,0
0.1690002,1.797098,-4.35,0.08400008,0,0.1680002,0
0.1700002,1.797182,-4.35,0.08450008,0,0.1690002,0
0.1710002,1.797267,-4.35,0.08500008,0,0.1700002,0
0.1720002,1.797353,-4.35,0.08550008,0,0.1710002,0
0.1730002,1.797439,-4.35,0.08600008,0,0.1720002,0
0.1740002,1.797525,-4.35,0.08650009,0,0.1730002,0
0.1750002,1.797612,-4.35,0.08700009,0,0.1740002,0
0.1760002,1.7977,-4.35,0.08750009,0,0.1750002,0
0.1770002,1.797788,-4.35,0.08800009,0,0.1760002,0
0.1780002,1.797876,-4.35,0.08850009,0,0.1770002,0
0.1790002,1.797965,-4.35,0.08900009,0,0.1780002,0
0.1800002,1.798055,-4.35,0.08950009,0,0.1790002,0
0.1810002,1.798145,-4.35,0.09000009,0,0.1800002,0
0.1820002,1.798235,-4.35,0.09050009,0,0.1810002,0
0.1830002,1.798326,-4.35,0.0910001,0,0.1820002,0
0.1840002,1.798418,-4.35,0.0915001,0,0.1830002,0
0.1850002,1.79851,-4.35,0.0920001,0,0.1840002,0
0.1860002,1.798602,-4.35,0.0925001,0,0.1850002,0
0.1870002,1.798695,-4.35,0.0930001,0,0.1860002,0
0.1880002,1.798789,-4.35,0.0935001,0,0.1870002,0
0.1890002,1.798883,-4.35,0.0940001,0,0.1880002,0
0.1900002,1.798977,-4.35,0.0945001,0,0.1890002,0
0.1910002,1.799073,-4.35,0.0950001,0,0.1900002,0
0.1920002,1.799168,-4.35,0.0955001,0,0.1910002,0
0.1930002,1.799264,-4.35,0.09600011,0,0.1920002,0
0.1940002,1.799361,-4.35,0.09650011,0,0.1930002,0
0.1950002,1.799458,-4.35,0.09700011,0,0.1940002,0
0.1960002,1.799555,-4.35,0.09750011,0,0.1950002,0
0.1970002,1.799653,-4.35,0.09800011,0,0.1960002,0
0.1980002,1.799752,-4.35,0.09850011,0,0.1970002,0
0.1990002,1.79985,-4.35,0.09900011,0,0.1980002,0
0.2000002,1.79995,-4.35,0.09950011,0,0.1990002,0
0.2010002,1.80005,-4.35,0.1000001,0,0.2000002,0
0.2020002,1.800151,-4.35,0.1005001,0,0.2010002,0
0.2030002,1.800251,-4.35,0.1010001,0,0.2020002,0
0.2040002,1.800353,-4.35,0.1015001,0,0.2030002,0
0.2050002,1.800455,-4.35,0.1020001,0,0.2040002,0
0.2060002,1.800557,-4.35,0.1025001,0,0.2050002,0
0.2070002,1.80066,-4.35,0.1030001,0,0.2060002,0
0.2080002,1.800764,-4.35,0.1035001,0,0.2070002,0
0.2090002,1.800868,-4.35,0.1040001,0,0.2080002,0
0.2100002,1.800972,-4.35,0.1045001,0,0.2090002,0
0.2110002,1.801077,-4.35,0.1050001,0,0.2100002,0
0.2120003,1.801183,-4.35,0.1055001,0,0.2110002,0
0.2130003,1.801289,-4.35,0.1060001,0,0.2120003,0
0.2140003,1.801395,-4.35,0.1065001,0,0.2130003,0
0.2150003,1.801502,-4.35,0.1070001,0,0.2140003,0
0.2160003,1.80161,-4.35,0.1075001,0,0.2150003,0
0.2170003,1.801718,-4.35,0.1080001,0,0.2160003,0
0.2180003,1.801826,-4.35,0.1085001,0,0.2170003,0
0.2190003,1.801935,-4.35,0.1090001,0,0.2180003,0
0.2200003,1.802045,-4.35,0.1095001,0,0.2190003,0
0.2210003,1.802155,-4.35,0.1100001,0,0.2200003,0
0.2220003,1.802266,-4.35,0.1105001,0,0.2210003,0
0.2230003,1.802377,-4.35,0.1110001,0,0.2220003,0
0.2240003,1.802488,-4.35,0.1115001,0,0.2230003,0
0.2250003,1.8026,-4.35,0.1120001,0,0.2240003,0
0.2260003,1.802713,-4.35,0.1125001,0,0.2250003,0
0.2270003,1.802826,-4.35,0.1130001,0,0.2260003,0
0.2280003,1.802939,-4.35,0.1135001,0,0.2270003,0
0.2290003,1.803053,-4.35,0.1140001,0,0.2280003,0
0.2300003,1.803167,-4.35,0.1145001,0,0.2290003,0
0.2310003,1.803282,-4.35,0.1150001,0,0.2300003,0
0.2320003,1.803398,-4.35,0.1155001,0,0.2310003,0
0.2330003,1.803514,-4.35,0.1160001,0,0.2320003,0
0.2340003,1.80363,-4.35,0.1165001,0,0.2330003,0
0.2350003,1.803747,-4.35,0.1170001,0,0.2340003,0
0.2360003,1.803865,-4.35,0.1175001,0,0.2350003,0
0.2370003,1.803983,-4.35,0.1180001,0,0.2360003,0
0.2380003,1.804101,-4.35,0.1185002,0,0.2370003,0
0.2390003,1.80422,-4.35,0.1190002,0,0.2380003,0
0.2400003,1.80434,-4.35,0.1195002,0,0.2390003,0
0.2410003,1.80446,-4.35,0.1200002,0,0.2400003,0
0.2420003,1.80458,-4.35,0.1205002,0,0.2410003,0
0.2430003,1.804701,-4.35,0.1210002,0,0.2420003,0
0.2440003,1.804823,-4.35,0.1215002,0,0.2430003,0
0.2450003,1.804945,-4.35,0.1220002,0,0.2440003,0
0.2460003,1.805067,-4.35,0.1225002,0,0.2450003,0
0.2470003,1.80519,-4.35,0.1230002,0,0.2460003,0
0.2480003,1.805314,-4.35,0.1235002,0,0.2470003,0
0.2490003,1.805438,-4.35,0.1240002,0,0.2480003,0
0.2500003,1.805562,-4.35,0.1245002,0,0.2490003,0
0.2510003,1.805687,-4.35,0.1250002,0,0.2500003,0
0.2520003,1.805813,-4.35,0.1255002,0,0.2510003,0
0.2530003,1.805939,-4.35,0.1260002,0,0.2520003,0
0.2540003,1.806065,-4.35,0.1265001,0,0.2530003,0
0.2550003,1.806192,-4.35,0.1270001,0,0.2540003,0
0.2560003,1.80632,-4.35,0.1275001,0,0.2550003,0
0.2570002,1.806448,-4.35,0.1280001,0,0.2560003,0
0.2580002,1.806576,-4.35,0.1285001,0,0.2570002,0
0.2590002,1.806705,-4.35,0.1290001,0,0.2580002,0
0.2600002,1.806835,-4.35,0.1295001,0,0.2590002,0
0.2610002,1.806965,-4.35,0.1300001,0,0.2600002,0
0.2620002,1.807096,-4.35,0.1305001,0,0.2610002,0
0.2630002,1.807227,-4.35,0.1310001,0,0.2620002,0
0.2640001,1.807358,-4.35,0.1315001,0,0.2630002,0
0.2650001,1.80749,-4.35,0.1320001,0,0.2640001,0
0.2660001,1.807622,-4.35,0.1325001,0,0.2650001,0
0.2670001,1.807755,-4.35,0.1330001,0,0.2660001,0
0.2680001,1.807889,-4.35,0.1335001,0,0.2670001,0
0.2690001,1.808023,-4.35,0.134,0,0.2680001,0
0.2700001,1.808157,-4.35,0.1345,0,0.2690001,0
0.2710001,1.808292,-4.35,0.135,0,0.2700001,0
0.272,1.808428,-4.35,0.1355,0,0.2710001,0
0.273,1.808564,-4.35,0.136,0,0.272,0
0.274,1.8087,-4.35,0.1365,0,0.273,0
0.275,1.808837,-4.35,0.137,0,0.274,0
0.276,1.808975,-4.35,0.1375,0,0.275,0
0.277,1.809113,-4.35,0.138,0,0.276,0
0.278,1.809251,-4.35,0.1385,0,0.277,0
0.279,1.80939,-4.35,0.139,0,0.278,0
0.2799999,1.80953,-4.35,0.1395,0,0.279,0
0.2809999,1.80967,-4.35,0.14,0,0.2799999,0
