t,x(t),v(t),F(t) (added)
4.099997,-1.165904,1.613396,116.5904
4.119997,-1.133169,1.636714,113.3169
4.139997,-1.099982,1.659378,109.9982
4.159997,-1.066354,1.681377,106.6354
4.179997,-1.0323,1.702704,103.23
4.199997,-0.9978333,1.72335,99.78333
4.219997,-0.9629671,1.743307,96.29671
4.239997,-0.9277158,1.762566,92.77158
4.259997,-0.8920934,1.781121,89.20934
4.279997,-0.8561141,1.798962,85.61141
4.299997,-0.8197924,1.816085,81.97924
4.319997,-0.7831428,1.832481,78.31428
4.339997,-0.7461799,1.848143,74.618
4.359997,-0.7089186,1.863067,70.89186
4.379997,-0.6713737,1.877245,67.13737
4.399997,-0.6335602,1.890673,63.35602
4.419997,-0.5954933,1.903344,59.54933
4.439997,-0.5571882,1.915254,55.71882
4.459997,-0.5186602,1.926398,51.86602
4.479997,-0.4799248,1.936771,47.99248
4.499997,-0.4409974,1.94637,44.09974
4.519997,-0.4018936,1.955189,40.18937
4.539997,-0.3626291,1.963227,36.26291
4.559997,-0.3232195,1.97048,32.32195
4.579997,-0.2836806,1.976944,28.36806
4.599997,-0.2440282,1.982618,24.40282
4.619997,-0.2042783,1.987499,20.42783
4.639997,-0.1644466,1.991584,16.44466
4.659997,-0.1245491,1.994873,12.45491
4.679996,-0.08460184,1.997364,8.460184
4.699996,-0.04462072,1.999056,4.462072
4.719996,-0.004621752,1.999949,0.4621752
4.739996,0.03537907,2.000041,-3.537907
4.759996,0.07536574,1.999333,-7.536574
4.779996,0.1153223,1.997826,-11.53223
4.799996,0.1552327,1.99552,-15.52326
4.819996,0.195081,1.992415,-19.50809
4.839996,0.2348512,1.988513,-23.48512
4.859996,0.2745275,1.983816,-27.45275
4.879996,0.3140941,1.978326,-31.40941
4.899996,0.3535349,1.972044,-35.35349
4.919996,0.3928344,1.964973,-39.28344
4.939996,0.4319767,1.957117,-43.19767
4.959996,0.4709463,1.948477,-47.09463
4.979996,0.5097274,1.939058,-50.97274
4.999996,0.5483047,1.928864,-54.83047
5.019996,0.5866627,1.917897,-58.66626
5.039996,0.624786,1.906164,-62.4786
5.059996,0.6626593,1.893668,-66.26594
5.079996,0.7002677,1.880415,-70.02676
5.099996,0.7375959,1.86641,-73.75958
5.119996,0.774629,1.851658,-77.4629
5.139996,0.8113523,1.836165,-81.13523
5.159996,0.8477511,1.819938,-84.77511
5.179996,0.8838108,1.802983,-88.38107
5.199996,0.9195169,1.785307,-91.95169
5.219996,0.9548553,1.766917,-95.48553
5.239996,0.9898117,1.74782,-98.98116
5.259996,1.024372,1.728024,-102.4372
5.279996,1.058523,1.707536,-105.8523
5.299996,1.09225,1.686366,-109.225
5.319996,1.12554,1.664521,-112.554
5.339996,1.158381,1.64201,-115.8381
5.359996,1.190758,1.618842,-119.0758
5.379996,1.222658,1.595027,-122.2658
5.399996,1.25407,1.570574,-125.407
5.419996,1.28498,1.545493,-128.498
5.439996,1.315375,1.519793,-131.5376
5.459996,1.345245,1.493485,-134.5245
5.479996,1.374577,1.466581,-137.4577
5.499996,1.403358,1.439089,-140.3358
5.519996,1.431579,1.411022,-143.1579
5.539996,1.459227,1.38239,-145.9227
5.559996,1.486291,1.353206,-148.6291
5.579996,1.51276,1.32348,-151.276
5.599996,1.538625,1.293225,-153.8625
5.619996,1.563874,1.262452,-156.3874
5.639996,1.588497,1.231175,-158.8497
5.659996,1.612486,1.199405,-161.2486
5.679996,1.635829,1.167155,-163.5829
5.699996,1.658517,1.134439,-165.8517
5.719995,1.680543,1.101268,-168.0543
5.739995,1.701896,1.067657,-170.1896
5.759995,1.722568,1.033619,-172.2568
5.779995,1.742552,0.999168,-174.2552
5.799995,1.761838,0.964317,-176.1838
5.819995,1.78042,0.9290802,-178.042
5.839995,1.798289,0.8934718,-179.8289
5.859995,1.815439,0.857506,-181.5439
5.879995,1.831863,0.8211973,-183.1863
5.899995,1.847554,0.78456,-184.7554
5.919995,1.862507,0.747609,-186.2507
5.939995,1.876714,0.7103589,-187.6714
5.959995,1.89017,0.6728246,-189.017
5.979995,1.902871,0.6350212,-190.2871
5.999995,1.91481,0.5969638,-191.481
6.019995,1.925983,0.5586675,-192.5983
6.039995,1.936386,0.5201479,-193.6386
6.059995,1.946015,0.4814201,-194.6015
6.079995,1.954865,0.4424998,-195.4865
6.099995,1.962933,0.4034026,-196.2933
6.119995,1.970216,0.3641439,-197.0216
6.139995,1.97671,0.3247396,-197.671
6.159995,1.982414,0.2852054,-198.2415
6.179995,1.987326,0.2455571,-198.7326
6.199995,1.991442,0.2058106,-199.1442
6.219995,1.994761,0.1659818,-199.4762
6.239995,1.997283,0.1260865,-199.7283
6.259995,1.999006,0.08614087,-199.9006
6.279995,1.999929,0.04616075,-199.9929
6.299995,2.000052,0.006162172,-200.0052
6.319995,1.999376,-0.03383887,-199.9376
6.339995,1.997899,-0.07382639,-199.7899
6.359995,1.995623,-0.1137844,-199.5623
6.379995,1.99255,-0.1536968,-199.255
6.399995,1.988679,-0.1935478,-198.8679
6.419995,1.984012,-0.2333214,-198.4012
6.439995,1.978552,-0.2730016,-197.8552
6.459995,1.972301,-0.3125727,-197.2301
6.479995,1.96526,-0.3520187,-196.526
6.499995,1.957434,-0.3913239,-195.7434
6.519995,1.948824,-0.4304726,-194.8824
6.539995,1.939435,-0.4694491,-193.9435
6.559995,1.929271,-0.5082378,-192.9271
6.579995,1.918334,-0.5468233,-191.8334
6.599995,1.90663,-0.5851899,-190.663
6.619995,1.894164,-0.6233225,-189.4164
6.639995,1.88094,-0.6612058,-188.094
6.659995,1.866963,-0.6988246,-186.6963
6.679995,1.85224,-0.7361639,-185.224
6.699995,1.836776,-0.7732087,-183.6776
6.719995,1.820577,-0.8099443,-182.0577
6.739995,1.80365,-0.8463558,-180.365
6.759995,1.786001,-0.8824288,-178.6001
6.779994,1.767638,-0.9181488,-176.7638
6.799994,1.748568,-0.9535016,-174.8568
6.819994,1.728799,-0.9884729,-172.8799
